H,I,J
1.521124047,6.258362337,1.560117909
2.293860163,9.407661574,1.642984013
1.35926059,8.57978966,3.070714886
1.306989455,3.643087279,2.540902286
2.720435956,4.24398452,1.868648886
2.075312546,5.150071333,1.452881237
2.852256993,6.932732402,2.14961166
2.489473787,7.594554787,3.03157851
2.447677853,9.457433997,2.05268509
2.633739461,7.531531046,1.911178277
2.751272479,9.25999559,1.185623768
2.464183237,6.659047073,1.784612096
1.85648827,8.262,7.053713461
2.371719407,7.732883912,2.014452894
1.854093399,6.797530129,1.627183747
2.659267423,7.261972704,1.854183467
1.967672466,7.04684968,7.402100601
2.277077114,6.917039293,1.815652083
2.833160804,11.56578462932450,7.2485043
1.455326347,7.345931219,6.867898043
2.186385377,7.108961668,3.703631425
1.936412491,7.400951065,7.048497386
2.352604049,6.935922399,1.759294232
1.79214955,7.021517965,1.748581541
1.137695946,8.823104288,6.885303686
1.94949815,6.43724247,2.668865503
2.391930695,7.865077274,2.704712194
1.563347905,6.258465309,2.660865478
2.577032302,8.535168439,2.132324881
2.481911627,7.605382169,1.53383351
1.785594006,8.632306988,7.187176711
1.810776885,8.21269848,0.564571116
1.534260977,8.16729501,2.595269778
2.710671306,6.612117268,3.040922063
2.407421356,8.715794742,7.340902838
2.256216531,7.36554034,1.762835138
0.83495166,7.123147751,1.984393784
1.647603407,7.588278744,3.189707404
2.335977252,5.82891505,2.007396506
1.899130471,6.976542021,1.539322102
2.239110898,7.311032524,2.876502357
2.213519968,7.118339775,6.923527481
1.566356757,6.13641767,6.725763191
2.984416484,12.44560457787510,2.079361496
1.693750397,7.256134452,6.661815614
2.858832702,6.918627312,2.42759714
2.414155083,7.670550847,2.396795294
1.573856632,8.250463312,2.294401845
1.832059353,7.038083105,1.203679265
2.283776898,9.350791884,2.461580171
1.836391113,7.870607507,3.044484156
2.172301808,6.01279761,2.389134455
1.321363701,13.60783532006500,1.539637588
2.647349277,6.255978084,2.315347352
1.900005885,7.163273212,0.472052978
1.803181753,6.72425066,2.246248709
2.669473566,6.618754526,2.429203915
1.775311308,12.77622420643840,2.54196629
2.972179802,9.473141436,1.956561318
1.672779109,1.420202255,2.198394326
1.797402222,8.393784069,1.895020719
2.854419332,1.018074541,1.405579464
1.411175532,6.770092715,3.748656276
2.525643736,3.213172956,1.813182229
1.287544965,8.609502817,2.73704126
2.09564244,7.809461314,6.980272352
2.015717646,4.900044931,2.424055485
2.028524583,5.341730065,1.920854256
2.004326188,10.99307819046820,2.551185098
3.014492312,2.861917553,2.528060815
2.073552793,3.323410587,2.191312618
1.695145671,7.978262844,1.588879177
2.039191562,9.922402162,2.044572739
3.127883848,7.388232635,7.250749672
1.915016996,6.23187868,1.457337351
2.244571415,6.222682086,1.889577853
2.022370939,7.542786203,1.521422875
2.261712234,10.66777710896500,3.093702412
2.544028599,7.386887607,2.661842641
1.48288893,4.424802969,1.5656021
2.063786963,7.154226349,2.498034778
2.433312418,7.256635863,2.558267606
2.014738844,7.036155634,2.132895786
2.273633686,3.310200548,7.268075834
1.895183828,7.116820544,2.016199093
1.236385077,4.37942731,1.518614931
2.50034065,9.038729829,1.587916036
1.836158479,7.921914313,1.352895268
2.602902518,7.319853788,1.972851718
1.964150137,7.96585486,1.499830155
2.326001307,6.908462117,1.690285368
2.250201794,2.799489685,2.005766109
3.274159987,5.041739318,7.128531907
2.262283545,12.26366147030170,2.620145546
2.047985906,3.757125082,1.220333614
1.304017696,12.04166383056180,3.519930776
1.690639563,3.459876215,2.708767083
1.534416341,8.381630022,0.911787208
2.438528066,6.338141884,1.943946203
1.769931286,9.579152165,2.316975057
1.835522236,6.33368147,1.493761544
2.313554973,7.036847847,1.675115718
1.720029334,6.581818262,6.890060831
1.53499951,7.635301111,1.228013879
2.704240733,9.450475126,6.991630457
2.749851844,8.981056607,2.67496662
2.423050852,7.877283336,1.092825689
1.975468213,6.147039033,1.296257678
1.282368293,8.267545979,3.198181863
1.806121851,9.685077425,2.777596852
0.932199907,6.486012506,6.916796573
2.887702262,10.01494872936410,2.041153928
1.785680504,6.838379984,1.984548001
2.46614773,7.844149616,2.215245784
1.3026845,5.682244885,1.909265454
2.466807837,9.250315147,1.611796619
1.871732187,7.846601278,2.848087057
2.018501308,7.490239174,1.674907432
2.384053776,6.37307885,1.703528359
2.552466675,9.000464726,2.959466578
2.503538783,5.564688012,7.097685858
1.07876554,5.172185539,2.166132696
1.011438193,8.029515871,0.765583076
3.057115564,7.095822645,1.397990203
2.733840691,7.380057924,0.915857601
2.083736239,8.493361346,2.705068853
2.151015971,6.520648312,6.793685619
2.323403502,6.458653455,2.648342132
1.699929941,12.18168789635530,3.205437103
1.708426173,6.467191079,1.442891147
0.802166329,3.168070952,6.755033746
1.577511224,4.812086664,1.306369376
3.395609614,6.427025323,1.412188704
2.367301135,5.311048404,2.438876056
1.585848,6.632786499,1.488310094
2.434846443,7.936713305,1.862828365
2.189585818,6.569619671,2.79822466
2.515688566,5.935215768,7.12186055
2.382014485,7.777693908,1.883832563
1.493570891,7.823406472,6.934396723
1.620887877,4.469065433,1.669868265
1.146804527,5.45788709,6.861623402
1.949185318,11.76310242505350,6.947939204
1.360661597,5.899757932,7.054737555
2.009495093,7.929724212,1.333647044
2.378698985,4.907375432,1.57249091
2.685820201,4.267862257,2.53851013
2.819207774,6.541336539,3.011716181
1.459876796,7.311168657,7.043937861
2.38584595,5.334930133,1.71146352
1.468616065,6.704333022,2.613479647
2.761182723,7.75174258,6.838498576
3.140325674,6.739451615,1.143321187
1.7622482,7.597600033,2.713949506
2.322219981,7.779236518,1.656505952
2.26981799,4.031540775,2.654670152
1.732574665,9.439554313,3.913795111
2.807586523,10.20171385415380,2.682870951
1.535575781,6.809698749,1.687515508
1.238236339,7.214240511,2.436074381
2.650823834,6.905770112,7.016646452
2.320846631,9.619981666,0.51424522
2.482792727,7.73203375,2.266094097
1.700176439,10.17705836356040,1.862891293
2.236034893,3.668217007,6.869002029
1.275783254,8.452914152,1.892871237
3.25083921,9.270526407,7.003880123
1.866161769,10.81459488927040,1.765066297
2.539288359,9.922213604,1.433580925
2.270844386,5.943483125,2.131412395
1.630194953,5.729037606,2.012260084
3.095273431,9.020280758,1.070743154
2.874858585,5.54951049,2.814015154
2.274689616,1.670310191,1.832448377
1.981329638,1.972058448,1.218860234
2.222045576,6.318146535,2.554239865
1.927720535,7.59039979,2.066647568
1.987566615,9.535000595,7.386973361
1.848247936,6.745419171,6.786801604
1.591016697,7.249502703,6.934448381
3.143281394,6.91316174,2.207698506
2.034389355,6.060348476,2.651529688
2.284514552,6.535234627,1.562549628
1.080969214,7.299610034,2.759784643
1.643555827,8.629308757,2.28032081
1.967740257,7.614323992,3.135333236
1.481742154,10.34927730314240,2.482925328
1.813867242,6.82625173,2.154134229
2.099667088,9.479531401,1.704020143
1.538016494,10.54549364703190,2.472149487
2.926675548,4.709876374,1.845205663
2.515243645,8.007193653,2.055094927
2.486441537,4.217693554,1.829147867
1.788379111,9.51037335,6.70772812
2.331859054,10.58806331445910,6.704410744
